Benchmark,Base,Changed
2to3,0.38315,0.38456
async_generators,0.40279,0.39466
async_tree_cpu_io_mixed,1.10,1.09
async_tree_cpu_io_mixed_tg,0.96392,0.94231
async_tree_io,1.60,1.58
async_tree_io_tg,1.48,1.47
async_tree_memoization,0.91900,0.90888
async_tree_memoization_tg,0.78521,0.77360
async_tree_none,0.70578,0.69590
async_tree_none_tg,0.60720,0.59226
asyncio_tcp,1.05,1.03
asyncio_tcp_ssl,3.76,3.74
asyncio_websockets,0.67258,0.67723
bench_mp_pool,0.01057,0.01062
bench_thread_pool,0.00198,0.00192
chameleon,0.00922,0.00940
chaos,0.10149,0.10115
comprehensions,0.00003102,0.00003120
coroutines,0.03445,0.03533
coverage,0.10891,0.10661
create_gc_cycles,0.00128,0.00128
crypto_pyaes,0.10579,0.10720
dask,0.45985,0.45555
deepcopy,0.00049029,0.00049271
deepcopy_memo,0.00004829,0.00004896
deepcopy_reduce,0.00000462,0.00000458
deltablue,0.00524,0.00521
django_template,0.05059,0.05047
docutils,3.07,3.11
dulwich_log,0.09069,0.09022
fannkuch,0.48883,0.47868
float,0.10241,0.09847
gc_traversal,0.00378,0.00420
generators,0.05794,0.05961
genshi_text,0.03110,0.03040
genshi_xml,0.07243,0.07164
go,0.17685,0.17712
hexiom,0.00850,0.00854
html5lib,0.08843,0.09003
json_dumps,0.01696,0.01612
json_loads,0.00003735,0.00003550
logging_format,0.00001005,0.00001028
logging_silent,0.00000014473,0.00000014385
logging_simple,0.00000894,0.00000927
mako,0.01401,0.01389
mdp,3.71,3.71
meteor_contest,0.12399,0.12270
nbody,0.10884,0.10728
nqueens,0.12441,0.12155
pathlib,0.03203,0.03157
pickle,0.00001497,0.00001430
pickle_dict,0.00003536,0.00004669
pickle_list,0.00000496,0.00000512
pickle_pure_python,0.00042322,0.00041793
pidigits,0.21090,0.21340
pprint_pformat,2.23,2.23
pprint_safe_repr,1.08,1.08
pyflate,0.51594,0.51215
python_startup,0.01394,0.01372
python_startup_no_site,0.01088,0.01095
raytrace,0.42358,0.42283
regex_compile,0.19194,0.19144
regex_dna,0.19582,0.19959
regex_effbot,0.00372,0.00350
regex_v8,0.02578,0.02641
richards,0.06360,0.06563
richards_super,0.07806,0.07901
scimark_fft,0.49027,0.44473
scimark_lu,0.16506,0.15642
scimark_monte_carlo,0.09241,0.08807
scimark_sor,0.16254,0.15715
scimark_sparse_mat_mult,0.00739,0.00640
spectral_norm,0.14211,0.14636
sqlalchemy_declarative,0.15284,0.15353
sqlalchemy_imperative,0.02352,0.02373
sqlglot_normalize,0.16115,0.16135
sqlglot_optimize,0.07519,0.07514
sqlglot_parse,0.00198,0.00201
sqlglot_transpile,0.00234,0.00237
sqlite_synth,0.00000363,0.00000324
sympy_expand,0.66671,0.67020
sympy_integrate,0.02576,0.02589
sympy_str,0.39333,0.39476
sympy_sum,0.21758,0.21777
telco,0.01114,0.01058
tomli_loads,3.35,3.31
tornado_http,0.14878,0.14924
typing_runtime_protocols,0.00071732,0.00072989
unpack_sequence,0.00000004389,0.00000004422
unpickle,0.00002150,0.00002057
unpickle_list,0.00000601,0.00000568
unpickle_pure_python,0.00034610,0.00034955
xml_etree_generate,0.12322,0.12233
xml_etree_iterparse,0.13337,0.12428
xml_etree_parse,0.21647,0.19086
xml_etree_process,0.08402,0.08500
