Benchmark,stdev,mean,n
2to3,0.0013561098557073638,0.38455745968482613,60
async_generators,0.0034129055429907916,0.3946601565854507,60
async_tree_none,0.004923103949950135,0.6958994510501119,60
async_tree_cpu_io_mixed,0.023181158565363263,1.0917882132140222,60
async_tree_cpu_io_mixed_tg,0.017452998270191433,0.942310219167363,60
async_tree_io,0.036981330220584335,1.584161029466486,60
async_tree_io_tg,0.011723420937181211,1.466770573016644,60
async_tree_memoization,0.05950860417873493,0.9088776549329244,60
async_tree_memoization_tg,0.029759492678667714,0.7735981621507866,60
async_tree_none_tg,0.0037803281279123477,0.5922560444974806,60
asyncio_tcp,0.007654829610350362,1.025961468316867,60
asyncio_tcp_ssl,0.00967290929076836,3.740976968401325,60
asyncio_websockets,0.0327216813250916,0.6772262191341725,60
chameleon,6.219147310518452e-05,0.009401384980113411,60
chaos,0.0014038231054763367,0.1011454296586938,60
comprehensions,2.193197711580083e-07,3.120084493003124e-05,60
bench_mp_pool,0.0005154699643290532,0.010615931931139737,60
bench_thread_pool,2.8692840409037225e-05,0.0019166504374576712,60
coroutines,0.0003162177980167618,0.03533434999990277,60
coverage,0.0015858708849579091,0.10660998598468722,60
crypto_pyaes,0.0009532885005790735,0.10719716726550056,60
dask,0.01123521115803512,0.4555504439005745,60
deepcopy,3.1633207312193733e-06,0.0004927099033428324,60
deepcopy_reduce,3.490299946779559e-08,4.584477878418388e-06,60
deepcopy_memo,3.374081103217067e-07,4.896224033252849e-05,60
deltablue,7.425493156644804e-05,0.0052137688860057095,60
django_template,0.0003728106356733527,0.05047089636645978,60
docutils,0.017817631828915565,3.1139815954583656,60
dulwich_log,0.0009375714848648054,0.0902249262915575,60
fannkuch,0.003898045531412159,0.4786816085659666,60
float,0.001706935247451686,0.09847386930123321,60
create_gc_cycles,2.6588394683159134e-05,0.0012763238546237214,60
gc_traversal,0.00022597552160305348,0.004204141343749749,60
generators,0.0006367191099109868,0.05960653053286175,60
genshi_text,0.00020899243525637892,0.03040124674953404,60
genshi_xml,0.0008303933678636093,0.07164222861586798,60
go,0.0010879508679287175,0.1771177696995437,60
hexiom,5.144680945422621e-05,0.008539661140487927,60
html5lib,0.003291427357497484,0.09002717739980047,60
json_dumps,0.00011383843996005578,0.016123420766719694,60
json_loads,2.953734913169774e-07,3.55042417706386e-05,60
logging_format,2.6976090049161807e-07,1.0279527820718689e-05,60
logging_silent,1.4661055993371525e-09,1.4384875993182315e-07,60
logging_simple,1.8409127316406487e-07,9.26769239652477e-06,60
mako,7.551842693545786e-05,0.013892622206003579,60
mdp,0.016335060598008412,3.712048115567207,60
meteor_contest,0.0006077958068889626,0.12269904254984189,60
nbody,0.0010289698735309414,0.10728255596380526,60
nqueens,0.0009211688567962383,0.12155269538294912,60
pathlib,0.00016867049171593413,0.0315679560204444,60
pickle,1.2188266213641296e-07,1.4303992913274517e-05,60
pickle_dict,3.551234329123308e-07,4.668751544973778e-05,60
pickle_list,7.174158314122865e-08,5.12042036064031e-06,60
pickle_pure_python,2.963736076493135e-06,0.0004179316971294611,60
pidigits,0.0007628097115473946,0.21340264896619676,60
pprint_safe_repr,0.008138258675201158,1.0809566669151536,60
pprint_pformat,0.018505178811605322,2.234201815184497,60
pyflate,0.008022419742659173,0.5121478966316014,60
python_startup,9.650481454998505e-05,0.013721704688814498,200
python_startup_no_site,0.00012386031918594517,0.010946325490895106,200
raytrace,0.002332449162610422,0.42283250773325565,60
regex_compile,0.0016759033751995531,0.19143809159868397,60
regex_dna,0.002385382166498038,0.19959436911691833,60
regex_effbot,7.321626416756915e-05,0.003503510734590236,60
regex_v8,0.000284208010119083,0.026411387074767846,60
richards,0.0013846573826627585,0.06563142570860994,60
richards_super,0.0014218216442823991,0.07901312832400435,60
scimark_fft,0.0034234774896466373,0.44473353089852025,60
scimark_lu,0.0016843409195066387,0.15642460688153126,60
scimark_monte_carlo,0.0008586514407823041,0.08806867705692033,60
scimark_sor,0.0008896153973594934,0.15714776996610452,60
scimark_sparse_mat_mult,8.441671581238995e-05,0.006401459271819477,60
spectral_norm,0.0014111654463216182,0.14635813274944667,60
sqlalchemy_declarative,0.0034322096969531795,0.15352835206625362,60
sqlalchemy_imperative,0.000598769900593156,0.023729603135628472,60
sqlglot_normalize,0.0011936356670378754,0.16134943215050346,60
sqlglot_optimize,0.000406122719486773,0.07513581446667862,60
sqlglot_parse,3.191824846649794e-05,0.0020138632290354506,60
sqlglot_transpile,2.9592197435871573e-05,0.002370045375369045,60
sqlite_synth,3.9122919387319516e-08,3.2363860209105864e-06,60
sympy_expand,0.005035684864474142,0.6702009776980655,60
sympy_integrate,0.00021498794769501196,0.025891625934430826,60
sympy_sum,0.0016407444947785224,0.21777365961509834,60
sympy_str,0.003494329662431125,0.39476332513343854,60
telco,0.00011040155983186109,0.010578280469750704,60
tomli_loads,0.032978449902231546,3.305801092200272,60
tornado_http,0.002625442211161084,0.1492411496345691,60
typing_runtime_protocols,5.49355287424482e-06,0.0007298930415383135,60
unpack_sequence,3.875876900661059e-10,4.421562427288824e-08,60
unpickle,1.721991004916129e-07,2.0565824332360686e-05,60
unpickle_list,1.5090780354385457e-07,5.675745082953654e-06,60
unpickle_pure_python,2.134339318751035e-06,0.00034955212979032995,60
xml_etree_parse,0.0019926792365323647,0.19086458833189682,60
xml_etree_iterparse,0.0020870580120392053,0.12427890883069874,60
xml_etree_generate,0.0022368068085163585,0.12232693075202405,60
xml_etree_process,0.0019281385832693606,0.0850006875002388,60
