Benchmark,stdev,mean,n
2to3,0.0015827274251523518,0.38315318983319835,60
async_generators,0.0029993998403088995,0.4027915911850869,60
async_tree_none,0.004658941878910369,0.70577763068286,60
async_tree_cpu_io_mixed,0.038683580724131146,1.100198315353676,60
async_tree_cpu_io_mixed_tg,0.017614910600917695,0.9639247315993998,60
async_tree_io,0.03583913312546136,1.5980084636331109,60
async_tree_io_tg,0.009489240515170735,1.4844527544337325,60
async_tree_memoization,0.06116461189902289,0.9189978756180305,60
async_tree_memoization_tg,0.02982288677510712,0.7852079781189484,60
async_tree_none_tg,0.00389317582756035,0.6072010854341594,60
asyncio_tcp,0.014441307676453467,1.0504655736367567,60
asyncio_tcp_ssl,0.013725779133057498,3.7597414318981466,60
asyncio_websockets,0.018536413330587212,0.6725766533670442,60
chameleon,7.505840041742974e-05,0.009217735509385724,60
chaos,0.0012462685991125296,0.10149337675102288,60
comprehensions,1.948639016553719e-07,3.1015373103808015e-05,60
bench_mp_pool,0.00047812769602953903,0.010571514510381045,60
bench_thread_pool,0.00013887088496525063,0.0019782627299340066,60
coroutines,0.0005563491501283328,0.03444812166283858,60
coverage,0.0018948391859830768,0.10890762559962847,60
crypto_pyaes,0.0011055756746654424,0.10578938431475156,60
dask,0.01475923547938522,0.4598486077501244,60
deepcopy,3.2142627790980848e-06,0.0004902870299057819,60
deepcopy_reduce,3.38768947651837e-08,4.617006843658326e-06,60
deepcopy_memo,3.229085018796383e-07,4.828786891278488e-05,60
deltablue,5.06300635763588e-05,0.005240001150013995,60
django_template,0.0003014416490005779,0.05058918949240857,60
docutils,0.019173804300196284,3.0715563920011237,60
dulwich_log,0.0012569313668637921,0.09068950069195125,60
fannkuch,0.006848069444699526,0.4888259236991871,60
float,0.0011150052879998833,0.10241226925233302,60
create_gc_cycles,2.9416329788806172e-05,0.0012833170215685642,60
gc_traversal,4.4699116996263596e-05,0.003780110664820313,60
generators,0.0004856165123861261,0.057939870591993285,60
genshi_text,0.00023673904966517637,0.03110034998341386,60
genshi_xml,0.0008635664259882766,0.07242800703388638,60
go,0.0016566418635823833,0.17684839223511517,60
hexiom,4.0035275042635476e-05,0.008496748774996376,60
html5lib,0.0033639151342812024,0.0884341801747117,60
json_dumps,0.00012028628756205425,0.01696420766244652,60
json_loads,3.762970819608758e-07,3.7349156210950694e-05,60
logging_format,1.1103133242968282e-07,1.0047991889621243e-05,60
logging_silent,2.411470827585674e-09,1.4473251630212995e-07,60
logging_simple,1.696416544594262e-07,8.942040276783321e-06,60
mako,7.985145319938346e-05,0.014011201308070062,60
mdp,0.027852571276468664,3.7084270032520483,60
meteor_contest,0.0007083917713711947,0.12398929253589207,60
nbody,0.0009380836239327088,0.10884032386481218,60
nqueens,0.0007691030824776811,0.12441347243438941,60
pathlib,0.0001464379888891416,0.03203077061213359,60
pickle,1.410253892482298e-07,1.4974330906388407e-05,60
pickle_dict,4.504676516239062e-06,3.5362155292849216e-05,60
pickle_list,6.166763218016922e-08,4.964012176174038e-06,60
pickle_pure_python,2.9465591466895137e-06,0.0004232231856258295,60
pidigits,0.0006195041756964365,0.21090429156514195,60
pprint_safe_repr,0.008129671137850568,1.0801104621821045,60
pprint_pformat,0.010680359058747164,2.227328208667556,60
pyflate,0.00565003421227611,0.5159354985177439,60
python_startup,8.566884859961891e-05,0.013942671529475774,200
python_startup_no_site,0.00019580561201156148,0.010881065640996895,200
raytrace,0.0019265190687787878,0.42358206198065695,60
regex_compile,0.001134049958324927,0.1919444620158174,60
regex_dna,0.001296421732389183,0.19581777048297228,60
regex_effbot,6.244351315794856e-05,0.0037216644345244277,60
regex_v8,0.0002842810877744632,0.025778939804028293,60
richards,0.0013520354008613583,0.06360402980911507,60
richards_super,0.0014481305168347913,0.07805876715841199,60
scimark_fft,0.006711491063341526,0.4902651379995708,60
scimark_lu,0.002257441582329929,0.16505765941692516,60
scimark_monte_carlo,0.0011127417832724237,0.09241420634231569,60
scimark_sor,0.0012650925840980293,0.1625371245512118,60
scimark_sparse_mat_mult,0.00023977955268282298,0.007392425538546377,60
spectral_norm,0.00115095304039373,0.14210954633454093,60
sqlalchemy_declarative,0.003293837246838726,0.1528421077353414,60
sqlalchemy_imperative,0.0005450718175814075,0.02352114598100646,60
sqlglot_normalize,0.0007827615490300097,0.16114938958489802,60
sqlglot_optimize,0.00037238415427306613,0.0751852360869331,60
sqlglot_parse,2.7635694229175644e-05,0.0019791644131752642,60
sqlglot_transpile,2.7696243415684826e-05,0.002339742515778198,60
sqlite_synth,4.165257545307566e-08,3.627363126016784e-06,60
sympy_expand,0.003999439117515688,0.666711302450373,60
sympy_integrate,0.00012378778834272016,0.025764599000225038,60
sympy_sum,0.0020364505239842544,0.21757512986805522,60
sympy_str,0.0026041322758585815,0.3933319364989681,60
telco,7.451975287226973e-05,0.01114113473628701,60
tomli_loads,0.0314187794463651,3.354305603916873,60
tornado_http,0.0028609753310799547,0.1487783977179788,60
typing_runtime_protocols,4.427801020633802e-06,0.0007173238532554176,60
unpack_sequence,2.208307165139346e-10,4.388543574466534e-08,60
unpickle,2.5898626222621774e-07,2.1500981559086087e-05,60
unpickle_list,1.518054432635738e-07,6.011229712754585e-06,60
unpickle_pure_python,2.3330285947587494e-06,0.0003461040892625533,60
xml_etree_parse,0.0022492323665760316,0.21646771893429104,60
xml_etree_iterparse,0.0009481120245316854,0.13337007708469173,60
xml_etree_generate,0.0027611483184335796,0.12321704778199395,60
xml_etree_process,0.0005041992330880452,0.08401768245918599,60
